City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Tiznit,MA,29.5833,-9.5,62.71,57,100,8.93,overcast clouds
212,Coihaique,CL,-45.5752,-72.0662,63.21,55,0,5.75,clear sky
213,Forrest City,US,35.0081,-90.7898,34.45,56,0,12.37,clear sky
214,Buraydah,SA,26.326,43.975,68.45,51,0,11.68,clear sky
215,Meulaboh,ID,4.1363,96.1285,76.77,90,100,6.02,overcast clouds
216,Nouadhibou,MR,20.931,-17.0347,82.38,44,0,12.66,clear sky
217,Banposh,IN,22.25,84.8,63.23,38,11,3.33,few clouds
218,Gravdal,NO,68.1214,13.5031,26.49,93,40,9.22,snow
219,Yenagoa,NG,4.9247,6.2642,92.98,40,92,0.92,overcast clouds
220,Carroll,US,39.5501,-77.0164,43.86,90,75,8.01,broken clouds
221,Umea,SE,63.8284,20.2597,12.99,88,16,5.99,few clouds
222,Ribeira Grande,PT,38.5167,-28.7,64.8,94,75,18.99,light intensity drizzle
223,Neuquen,AR,-38.9516,-68.0591,80.55,38,0,8.05,clear sky
224,Aksarka,RU,66.5606,67.7975,2.17,91,14,10.76,few clouds
225,Qandala,SO,11.472,49.8728,76.5,72,15,5.95,few clouds
226,Imeni Poliny Osipenko,RU,52.4201,136.4853,-11.11,96,100,5.82,overcast clouds
227,Pontes E Lacerda,BR,-15.2261,-59.3353,81.39,72,100,6.02,light rain
228,Port Pirie,AU,-33.1833,138.0167,63.73,45,48,8.12,scattered clouds
229,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,87,89,9.17,overcast clouds
230,Rio Cauto,CU,20.5603,-76.9161,81.99,49,0,3.71,clear sky
231,Grafton,US,42.207,-71.6856,42.15,89,100,16.11,heavy intensity rain
232,Aksum,ET,14.1245,38.7244,66.99,26,88,5.82,overcast clouds
233,Colac,AU,-38.3333,143.5833,52.83,96,5,4.76,clear sky
234,Ambilobe,MG,-13.2,49.05,76.15,89,100,4.27,heavy intensity rain
235,Kargasok,RU,59.0556,80.8572,-4.07,91,20,7.7,few clouds
236,Palmer,US,42.1584,-72.3287,41.41,85,100,14.97,sleet
237,Provideniya,RU,64.3833,-173.3,12.52,93,65,13.89,broken clouds
238,Mahanje,TZ,-9.9333,35.3333,75.96,63,90,4.38,overcast clouds
239,Terney,RU,45.0503,136.6092,2.55,71,35,11.18,scattered clouds
240,Emirdag,TR,39.0197,31.15,53.02,74,86,2.57,overcast clouds
241,Polyarnyy,RU,69.1989,33.4478,10.02,93,89,7.94,overcast clouds
242,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,76,22,11.72,few clouds
243,Bacolod,PH,10.6667,122.95,78.24,85,93,9.78,overcast clouds
244,Nanortalik,GL,60.1432,-45.2371,25.16,60,89,7.76,overcast clouds
245,Tahe,CN,52.3333,124.7333,-11.79,79,100,7.76,overcast clouds
246,Guerrero Negro,MX,27.9769,-114.0611,60.01,44,100,2.24,overcast clouds
